City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,namibe,-15.1961,12.1522,60.87,83,33,8.95,AO,1723069194
1,gizo,-8.103,156.8419,81.23,80,91,12.24,SB,1723069079
2,kaspiyskiy,45.3929,47.3707,81.64,49,98,15.21,RU,1723069197
3,klyuchi,52.2667,79.1667,66.85,85,98,6.98,RU,1723069199
4,bilibino,68.0546,166.4372,49.96,50,0,3.94,RU,1723069200
5,saynshand,44.8824,110.1163,78.13,36,83,6.11,MN,1723069201
6,hermanus,-34.4187,19.2345,47.8,86,1,6.69,ZA,1723069202
7,vytegra,61.0064,36.4481,57.65,76,68,2.64,RU,1723069203
8,effingham,32.3669,-81.3332,81.05,96,98,1.01,US,1723069204
9,puerto ayora,-0.7393,-90.3518,76.96,96,28,8.01,EC,1723069205
10,waitangi,-43.9535,-176.5597,51.82,95,59,7.0,NZ,1723069206
11,hawaiian paradise park,19.5933,-154.9731,82.87,73,0,10.36,US,1723069207
12,georgetown,5.4112,100.3354,80.53,79,20,2.3,MY,1723069106
13,taulaga,-11.0553,-171.0883,81.14,77,87,19.73,AS,1723069209
14,ushuaia,-54.8,-68.3,31.66,80,0,2.3,AR,1723069211
15,singa,13.15,33.9333,75.25,88,90,5.3,SD,1723069035
16,porto velho,-8.7619,-63.9039,91.45,43,6,3.44,BR,1723069167
17,nuriootpa,-34.4833,139.0,54.64,56,91,9.22,AU,1723069214
18,port-aux-francais,-49.35,70.2167,33.69,98,99,27.74,TF,1723069215
19,parintins,-2.6283,-56.7358,88.9,34,6,3.06,BR,1723069216
20,albany,42.6001,-73.9662,76.24,70,43,1.99,US,1723069217
21,geraldton,-28.7667,114.6,55.81,94,7,12.66,AU,1723069218
22,lihue,21.9789,-159.3672,83.73,69,75,16.11,US,1723069219
23,huangmei,30.1924,116.025,81.52,82,0,3.36,CN,1723069220
24,chegdomyn,51.1167,133.0167,68.13,71,55,1.05,RU,1723069221
25,bonnyville,54.2668,-110.735,67.8,31,54,6.71,CA,1723069222
26,itaituba,-4.2761,-55.9836,85.89,39,1,0.49,BR,1723069223
27,blackmans bay,-43.0167,147.3167,46.53,82,100,9.01,AU,1723069224
28,longyearbyen,78.2186,15.6401,51.64,93,0,0.0,SJ,1723069225
29,adamstown,-25.066,-130.1015,66.16,65,26,7.87,PN,1723069227
30,bethel,41.3712,-73.414,67.64,85,98,1.01,US,1723069174
31,minas de marcona,-15.2119,-75.1103,51.01,87,86,18.59,PE,1723069229
32,mount gambier,-37.8333,140.7667,50.72,59,100,13.0,AU,1723069230
33,hadibu,12.65,54.0333,78.31,83,37,21.59,YE,1723069231
34,grytviken,-54.2811,-36.5092,18.52,72,40,12.5,GS,1723069232
35,port mathurin,-19.6833,63.4167,72.03,75,10,11.14,MU,1723069233
36,el granada,37.5027,-122.4694,91.89,53,0,13.8,US,1723069235
37,stanley,54.868,-1.6985,57.79,81,20,5.75,GB,1723069236
38,puerto natales,-51.7236,-72.4875,30.65,93,75,8.05,CL,1723069239
39,college,64.8569,-147.8028,77.32,49,75,3.44,US,1723069240
40,margaret river,-33.95,115.0667,57.31,61,50,13.15,AU,1723069241
41,touros,-5.1989,-35.4608,75.65,79,4,14.07,BR,1723069242
42,lebu,-37.6167,-73.65,46.6,79,0,12.28,CL,1723068986
43,jamestown,42.097,-79.2353,75.56,63,75,10.36,US,1723069244
44,hamilton,39.1834,-84.5333,85.59,68,59,5.99,US,1723069245
45,kismayo,-0.3582,42.5454,76.42,80,100,14.97,SO,1723069246
46,bandarbeyla,9.4942,50.8122,77.16,84,44,30.94,SO,1723069247
47,iqaluit,63.7506,-68.5145,53.33,54,40,3.44,CA,1723069248
48,anadyr,64.75,177.4833,48.7,70,40,6.71,RU,1723069249
49,bubaque,11.2833,-15.8333,79.5,84,97,16.89,GW,1723069250
50,san antonio de pale,-1.4014,5.6325,73.54,81,99,9.22,GQ,1723069251
51,tocopilla,-22.092,-70.1979,64.45,69,3,16.75,CL,1723069031
52,gaspe,48.8334,-64.4819,66.42,55,40,0.0,CA,1723069253
53,balcarce,-37.8462,-58.2552,45.82,99,100,1.99,AR,1723069254
54,talnakh,69.4865,88.3972,48.4,74,0,7.25,RU,1723069256
55,bikenibeu village,1.3673,173.1241,85.96,66,75,3.44,KI,1723069257
56,prince rupert,54.3161,-130.3201,58.69,98,100,4.61,CA,1723069258
57,dolzhanskaya,46.6311,37.8039,77.43,67,24,15.88,RU,1723069259
58,ilulissat,69.2167,-51.1,41.02,93,100,6.91,GL,1723069260
59,mitu,1.1983,-70.1733,82.47,72,93,1.81,CO,1723069261
60,yellowknife,62.456,-114.3525,72.12,45,40,17.27,CA,1723069262
61,armacao de buzios,-22.7469,-41.8817,77.05,78,0,26.6,BR,1723069051
62,badger,64.8,-147.5333,77.25,44,75,3.44,US,1723069264
63,edinburgh of the seven seas,-37.0676,-12.3116,46.54,65,99,29.24,SH,1723069266
64,price,39.5994,-110.8107,97.86,12,75,19.57,US,1723069267
65,fale old settlement,-9.3852,-171.2468,82.8,68,98,19.01,TK,1723069268
66,puerto carreno,6.189,-67.4859,89.58,62,40,0.0,CO,1723069269
67,afif,23.9065,42.9172,81.57,54,78,13.53,SA,1723069270
68,cabo san lucas,22.8909,-109.9124,92.5,58,0,19.57,MX,1723069261
69,avarua,-21.2078,-159.775,77.05,53,43,13.8,CK,1723069272
70,caleta de carquin,-11.0925,-77.6267,64.38,79,32,12.59,PE,1723069273
71,qaqortoq,60.7167,-46.0333,46.72,91,100,3.96,GL,1723069274
72,tolanaro,-25.0319,46.9987,69.87,83,75,11.5,MG,1723069275
73,porto novo,6.4965,2.6036,78.62,82,100,9.6,BJ,1723069276
74,whitehorse,60.7161,-135.0538,83.01,29,0,17.27,CA,1723069277
75,portland,45.5234,-122.6762,89.58,48,0,4.0,US,1723069276
76,santo antonio do ica,-3.1022,-67.9397,86.72,55,34,2.33,BR,1723069279
77,bredasdorp,-34.5322,20.0403,48.29,95,1,2.82,ZA,1723069280
78,miyako,39.6367,141.9525,77.4,83,68,2.13,JP,1723069282
79,akrehamn,59.2667,5.1833,62.42,82,100,12.66,NO,1723069283
80,inari,68.906,27.0288,50.2,56,2,5.08,FI,1723069285
81,aasiaat,68.7098,-52.8699,39.87,93,76,8.79,GL,1723069286
82,mpika,-11.8343,31.4529,56.1,42,81,4.27,ZM,1723069287
83,kalmunai,7.4167,81.8167,79.75,85,100,7.74,LK,1723069288
84,vila franca do campo,37.7167,-25.4333,73.81,89,75,7.58,PT,1723069289
85,mstsislaw,54.0192,31.7257,58.68,91,100,5.59,BY,1723069290
86,ixtapa,20.7,-105.2,88.83,66,75,10.36,MX,1723069098
87,lerik,38.7726,48.4128,61.52,66,0,2.84,AZ,1723069292
88,udachny,66.4167,112.4,57.42,56,88,11.12,RU,1723069293
89,kruisfontein,-34.0033,24.7314,52.61,48,1,6.04,ZA,1723069294
90,hobyo,5.3505,48.5268,75.76,87,100,23.58,SO,1723069295
91,monett,36.929,-93.9277,88.02,45,0,5.75,US,1723069296
92,kadugli,11.0167,29.7167,73.8,89,100,10.49,SD,1723069297
